Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,19.6,301,419,71.8,4580,629,0,0.9,-0.9,11,19,5,0,18
João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,15.9,1127,1315,85.7,19950,5626,2,2.9,-0.9,30,97,47,7,108
Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,2.8,61,88,69.3,956,384,0,0.4,-0.4,2,6,7,1,16
Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,4.1,82,130,63.1,1273,378,0,0.1,-0.1,2,9,3,0,10
Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,19.6,721,964,74.8,13724,4831,2,1.7,+0.3,18,54,17,13,42
Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,1,32,33,97,813,519,0,0,0,0,0,0,0,0
Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,12.1,527,656,80.3,8354,3130,2,0.7,+1.3,10,31,13,2,40
Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,0.5,24,29,82.8,325,92,0,0,0,0,0,0,0,1
Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,15.9,359,491,73.1,5757,1275,0,1.5,-1.5,23,12,14,2,30
Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,8.5,156,200,78,2677,372,2,1.6,+0.4,8,8,8,1,12
Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,11.3,704,814,86.5,14225,3513,1,2,-1,17,94,16,2,82
Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,16.5,1011,1281,78.9,17460,5809,4,1.1,+2.9,16,71,17,6,96
Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,2.5,154,185,83.2,3014,552,0,0,0,0,13,0,0,8
Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,6.1,416,451,92.2,9105,2319,0,0,0,0,15,0,0,23
Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,11.4,369,449,82.2,7509,2668,0,0.1,-0.1,2,26,2,0,27
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,11.7,398,516,77.1,6173,2433,1,0.3,+0.7,2,18,9,4,21
Conor Coady\Conor-Coady,eng ENG,DF,Wolves,21.7,936,1072,87.3,23646,8611,0,0.1,-0.1,2,40,0,0,36
